EPG名称,APP地址
Astro欢喜台,P2p://starvod.xyz:19806/c76e101f7bb24d28ab2bd164e8ac350a
Astro Oasis HD,P2p://starvod.xyz:19806/0ad4c26ff54d476cafb8470c37f241ad
Astro Ceria,P2p://starvod.xyz:19806/555e31688aa14801bbfe82eba4c2547b
Astro Awani,P2p://starvod.xyz:19806/24951a9c42fb4fe1b3ec30776cbe6336
Astro Arena,P2p://starvod.xyz:19806/97b9a05753124eebaf2913c4dc28cdd5
Arena Bola,#N/A
Astro AOD HD 311,P2p://starvod.xyz:19806/4b0c1e74ce4748719d497d69965cf282
Astro AEC,P2p://starvod.xyz:19806/bed786d45d0742cd8066ce0dc49eb402
Astro AEC,#N/A
ABC Australia,P2p://starvod.xyz:19806/6f58c32b75ab424cbc6e4c61c7e474fe
8TV,P2p://starvod.xyz:19806/1439cd6678aa4e978d74a1855cf6eef7
中天亚洲台,P2p://starvod.xyz:19806/761e3fb682e6459ca4dbafa0e9739187
天映频道,P2p://starvod.xyz:19806/d42eb59a701444d8b0d804f475682092
天映经典,P2p://starvod.xyz:19806/103e7ffb39794fc0b2b15f6bb2b0051d
翡翠台,P2p://147.135.39.171:9906/6763d686000bd4b39dc7adf53eb36f55
爱奇艺,P2p://starvod.xyz:19806/db59345d5e6a4dc4be922a05258f220f
Zee Tamil,P2p://starvod.xyz:19806/f6017454e80848b29751712ab54bba2d
TVS,#N/A
TVB娱乐新闻台,P2p://starvod.xyz:19806/02664ece24a04cda978a76b8a1f80380
TVB星河频道,P2p://starvod.xyz:19806/cf159dce09d742c19e0549c8918f2435
TVBS亚洲,P2p://starvod.xyz:19806/ef40fbad0c3c4abbbb142e642263e92b
TV9,P2p://starvod.xyz:19806/dc219f80bc0c4025a6fcbb78eed90722
TV3,P2p://starvod.xyz:19806/c9ec71f108814da08a19e2a05834d0e4
TV2,P2p://starvod.xyz:19806/02680bd65e5844a7a08e890c0566d0f2
TV1,P2p://starvod.xyz:19806/4c52dcac3db64579b5104ed411656bf8
TV Okey,P2p://starvod.xyz:19806/ff9005ae7c1e4415ab02308db10b8887
SUN TV,P2p://starvod.xyz:19806/637f4884e952456a8e781d0314eb1915
Star Vijay,P2p://starvod.xyz:19806/aebd83c5e3e04db3a344518300c14c28
SPOTV,P2p://starvod.xyz:19806/2041f4ee5cec41d79ca86574d3ca30f5
Sky News,P2p://starvod.xyz:19806/bd65bd90cc8a4b4c94ff7f05e93a8752
ONE,P2p://starvod.xyz:19806/888ec28084ce4fc2921091dacf57f75d
NTV7,P2p://starvod.xyz:19806/1f0c960dec6b4a5ea71bdf66b0f12ddd
NickJr.,P2p://starvod.xyz:19806/0f5b1be36f394e1faf807e113b0d1d5e
KIX,P2p://starvod.xyz:19806/274abbab9a2943969715aec463043883
KBS World,P2p://starvod.xyz:19806/f5373fd4d9224213a84809ffef30ab3e
France24,P2p://starvod.xyz:19806/53794c7a8e44448fb9b8463f98eb419a
CNN,P2p://starvod.xyz:19806/5bd2df8281a649f1b13f467ddf797632
CNBCHongKong,P2p://starvod.xyz:19806/e96a82adc3c2419788ea3c76a60950d6
CGTN,P2p://147.135.39.171:9906/67401ba5000028f7123586380c484e3a
Boomerang,P2p://starvod.xyz:19806/5e53fa85030546de928bae0d6fb2e495
BOO,P2p://starvod.xyz:19806/af177f79c24440c5b22a1982240fc9a3
BloombergTV,P2p://starvod.xyz:19806/712f24e740244820a103847493e77ae8
Berita RTM,#N/A
AXN,P2p://starvod.xyz:19806/24b68d9ea90c45f0bb479d94a6cd864a
Awesome TV,P2p://starvod.xyz:19806/55cbf871f69b49c9a8825678f9b59d13
新加坡,#genre#
CNA,P2p://starvod.xyz:19806/796eca8dc0f94c37b43d78420ed379e6
Mediacorp 5,P2p://starvod.xyz:19806/a35881fd237042acaedef7d8b16612bf
Mediacorp 8,P2p://starvod.xyz:19806/149642b34013493e8946717513b702eb
Mediacorp U,P2p://starvod.xyz:19806/4eee7acfc52748a58e4dfdd8d85af5d4
中天亚洲台,P2p://starvod.xyz:19806/761e3fb682e6459ca4dbafa0e9739187
东森亚洲卫视,P2p://starvod.xyz:19806/e452adc943f44b7d90f2ce712d470535
Vasantham,P2p://starvod.xyz:19806/67404d2b000163c22371405704f225ff
TVB星河,P2p://starvod.xyz:19806/cf159dce09d742c19e0549c8918f2435
TVBS亚洲,P2p://starvod.xyz:19806/ef40fbad0c3c4abbbb142e642263e92b
Thrill,P2p://starvod.xyz:19806/223c78877367436a917585523b400765
Suria,P2p://starvod.xyz:19806/f45678a017f449beabf147a86c5b634a
